do_location_id,zone,borough,trip_count,avg_distance_mi,total_distance_mi,avg_fare,total_fare,fare_median
265,Outside of NYC,N/A,354243,29.72966837453384,1.0531526913999991E7,122.95837820366175,4.355714476999975E7,111.9
230,Times Sq/Theatre District,Manhattan,67707,18.041472403148866,1221533.9720000003,87.39983709217658,5917580.77,74.92
132,JFK Airport,Queens,49410,3.0172143897996464,149080.56300000052,26.481294272414523,1308440.7500000016,16.21
164,Midtown South,Manhattan,40269,17.294012342000045,696412.5829999999,83.2408780948124,3352026.9200000004,70.43
216,South Ozone Park,Queens,39092,3.3816413844264805,132195.12499999997,17.55339583546506,686197.3500000002,16.7
10,Baisley Park,Queens,33933,3.488171219756579,118364.114,19.080941266613625,647473.5800000001,17.7
48,Clinton East,Manhattan,33924,18.296455429784217,620688.9539999998,82.47731134300199,2797960.3099999996,70.14
163,Midtown North,Manhattan,28259,18.097911284900395,511428.87500000023,93.12683428288335,2631671.2100000004,77.57
68,East Chelsea,Manhattan,27396,18.298134691195802,501295.69800000015,86.73491385603737,2376189.6999999997,75.97
255,Williamsburg (North Side),Brooklyn,27181,16.077446194032596,437001.065,71.98179242853463,1956537.0999999999,67.86
161,Midtown Center,Manhattan,26851,17.636711593609178,473563.34300000005,89.24885963278837,2396421.1300000004,70.72
170,Murray Hill,Manhattan,26777,16.933775740374205,453435.7130000001,75.52894386973895,2022438.53,70.0
61,Crown Heights North,Brooklyn,24861,11.024974779775556,274091.8980000001,51.65690358392665,1284242.2800000005,50.02
162,Midtown East,Manhattan,24670,17.244549169031206,425423.0279999998,83.72932590190516,2065602.4700000002,70.0
145,Long Island City/Hunters Point,Queens,24655,15.482167268302572,381712.8339999999,64.47804461569662,1589706.19,61.78
138,LaGuardia Airport,Queens,24086,11.600083658556843,279399.6150000001,50.99517894212413,1228269.8800000018,46.47
79,East Village,Manhattan,24047,18.38465841892959,442095.8809999999,78.41408574874205,1885623.5200000003,70.0
181,Park Slope,Brooklyn,23796,18.650955076483438,443818.1269999999,79.26721297697092,1886242.6,75.8
112,Greenpoint,Brooklyn,23024,15.738904186935368,362372.5299999999,66.94521108408617,1541346.5399999998,63.85
148,Lower East Side,Manhattan,20788,18.270717096401775,379811.66700000013,81.83775014431404,1701243.1500000004,70.0
37,Bushwick South,Brooklyn,19931,11.074835131202645,220732.53899999993,50.11288294616425,998799.8699999996,48.44
87,Financial District North,Manhattan,19823,21.81276764364628,432394.4930000002,90.0430848004843,1784924.07,81.62
256,Williamsburg (South Side),Brooklyn,19697,16.411038889170936,323248.2329999999,71.36599126770574,1405695.93,67.67
90,Flatiron,Manhattan,19687,18.297359780565856,360220.122,85.24870472900899,1678291.25,74.06
107,Gramercy,Manhattan,19533,17.67197429990273,345186.674,77.20540060410586,1508053.0899999999,70.0
93,Flushing Meadows-Corona Park,Queens,18817,8.041188180900253,151311.03800000006,31.874107987458196,599775.0900000009,31.7
76,East New York,Brooklyn,18317,5.955515914178086,109087.18500000001,25.090279521755736,459578.6499999998,24.88
231,TriBeCa/Civic Center,Manhattan,18230,21.302360724081176,388342.03599999985,96.04777783872737,1750950.99,82.53
239,Upper West Side South,Manhattan,18080,20.680338606194685,373900.5219999999,83.78294192477875,1514795.5899999999,70.0
141,Lenox Hill West,Manhattan,18065,18.38583841682811,332140.17099999986,77.76493329642955,1404823.5199999998,70.0
219,Springfield Gardens South,Queens,17355,3.8444885623739564,66721.09900000002,18.340212618841832,318294.39,17.0
233,UN/Turtle Bay South,Manhattan,17149,17.053329581899824,292447.54900000006,75.55634147763718,1295715.7,70.0
263,Yorkville West,Manhattan,17072,18.995275480318654,324287.34300000005,75.31925550609184,1285850.3299999998,70.0
236,Upper East Side North,Manhattan,17059,19.177487601852395,327148.761,81.81414150888094,1395667.44,70.0
186,Penn Station/Madison Sq West,Manhattan,17017,17.83315854733502,303466.85900000005,84.39268672503965,1436110.3499999999,74.13
142,Lincoln Square East,Manhattan,16989,19.032214491729945,323338.292,85.74270763435165,1456682.86,70.0
100,Garment District,Manhattan,16729,17.52774816187459,293221.699,84.44025703867536,1412601.06,72.4
234,Union Sq,Manhattan,16478,17.854902233280743,294213.0790000001,86.85755856293238,1431238.8499999999,72.51
49,Clinton Hill,Brooklyn,16132,14.392076369947931,232172.97600000002,65.70803930076868,1060002.0900000003,63.9
25,Boerum Hill,Brooklyn,16092,17.861714640815308,287430.71199999994,80.16157718120806,1289960.1,75.26
225,Stuyvesant Heights,Brooklyn,15768,10.672519469812277,168284.28699999998,50.669890284119724,798962.8299999998,49.08
95,Forest Hills,Queens,15646,8.243043269845327,128970.65499999997,38.43491563338873,601352.6900000001,36.6
